gesture,rotation,sensors
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,32
errore,,0
errore,,48
errore,,48
errore,,0
errore,,0
errore,,48
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,128
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,16
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
errore,,0
